GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PwnFilter,com.pwn9.filter.minecraft.api,MinecraftConsole,38,0,0,0,16,0,9,0,9,0
PwnFilter,com.pwn9.filter.minecraft.tag,PlayerTag,0,7,0,0,0,2,0,2,0,2
PwnFilter,com.pwn9.filter.minecraft.tag,WorldTag,12,3,2,0,3,1,2,1,1,1
PwnFilter,com.pwn9.filter.bukkit.listener,PwnFilterServerCommandListener,139,0,14,0,34,0,12,0,5,0
PwnFilter,com.pwn9.filter.bukkit.listener,PlayerCacheListener,19,0,4,0,4,0,4,0,2,0
PwnFilter,com.pwn9.filter.bukkit.listener,PwnFilterPlayerListener,170,104,15,13,24,22,13,6,2,3
PwnFilter,com.pwn9.filter.bukkit.listener,BaseListener,31,24,2,0,13,7,8,3,7,3
PwnFilter,com.pwn9.filter.bukkit.listener,PwnFilterInvListener,170,0,20,0,40,0,15,0,5,0
PwnFilter,com.pwn9.filter.bukkit.listener,PwnFilterBookListener,88,126,11,13,20,32,11,6,2,3
PwnFilter,com.pwn9.filter.bukkit.listener,PwnFilterSignListener,122,143,12,16,23,27,11,8,2,3
PwnFilter,com.pwn9.filter.bukkit.listener,PwnFilterEntityListener,27,0,4,0,7,0,4,0,2,0
PwnFilter,com.pwn9.filter.bukkit.listener,PwnFilterCommandListener,293,0,38,0,57,0,24,0,5,0
PwnFilter,com.pwn9.filter.engine.rules,Rule,153,240,12,20,24,44,21,19,10,14
PwnFilter,com.pwn9.filter.engine.rules,Condition.CondType,0,44,0,0,0,2,0,1,0,1
PwnFilter,com.pwn9.filter.engine.rules,ShortCutManager,56,154,5,15,5,37,7,10,2,5
PwnFilter,com.pwn9.filter.engine.rules,Condition.CondFlag,0,34,0,0,0,2,0,1,0,1
PwnFilter,com.pwn9.filter.engine.rules,Condition,67,171,16,18,12,33,12,12,0,5
PwnFilter,com.pwn9.filter.engine.rules.action.targeted,TargetedAction,13,105,0,2,1,13,1,6,1,5
PwnFilter,com.pwn9.filter.engine.rules.action.targeted,Kick,52,6,6,0,9,3,6,2,3,2
PwnFilter,com.pwn9.filter.engine.rules.action.targeted,TargetedAction.new TargetedAction() {...},0,10,0,0,0,2,0,2,0,2
PwnFilter,com.pwn9.filter.engine.rules.action.targeted,TargetedAction.new TargetedAction() {...},0,12,0,0,0,2,0,2,0,2
PwnFilter,com.pwn9.filter.engine.rules.action.targeted,TargetedAction.new TargetedAction() {...},3,10,0,0,1,3,1,2,1,2
PwnFilter,com.pwn9.filter.engine.rules.action.targeted,TargetedAction.new TargetedAction() {...},3,10,0,0,1,3,1,2,1,2
PwnFilter,com.pwn9.filter.engine.rules.action.targeted,TargetedAction.new TargetedAction() {...},3,10,0,0,2,2,1,2,1,2
PwnFilter,com.pwn9.filter.engine.rules.action.targeted,Kill,46,6,6,0,8,3,6,2,3,2
PwnFilter,com.pwn9.filter.engine.rules.action.targeted,TargetedAction.new TargetedAction() {...},0,13,0,0,0,4,0,3,0,3
PwnFilter,com.pwn9.filter.engine.rules.action.targeted,TargetedAction.new TargetedAction() {...},3,10,0,0,1,3,1,2,1,2
PwnFilter,com.pwn9.filter.engine.rules.action.targeted,Fine,92,6,6,0,17,3,6,2,3,2
PwnFilter,com.pwn9.filter.engine.rules.action.targeted,Warn,35,22,4,2,7,5,5,3,2,3
PwnFilter,com.pwn9.filter.engine.rules.action.targeted,Burn,12,56,4,4,1,12,4,5,0,5
PwnFilter,com.pwn9.filter.engine.rules.action.targeted,Respond,45,40,2,2,6,7,3,3,2,2
PwnFilter,com.pwn9.filter.engine.rules.action.targeted,RespondFile,89,38,2,0,11,10,3,3,2,3
PwnFilter,com.pwn9.filter.util,LimitedRegexCharSequence,22,71,1,3,3,16,3,6,2,5
PwnFilter,com.pwn9.filter.util,LimitedRegexCharSequence.RegexTimeoutException,0,7,0,0,0,3,0,1,0,1
PwnFilter,com.pwn9.filter.util,PwnFormatter,32,0,0,0,5,0,2,0,2,0
PwnFilter,com.pwn9.filter.util,SimpleString,5,109,1,5,1,24,1,12,0,10
PwnFilter,com.pwn9.filter.util.tag,PointsTag,17,9,2,0,3,2,2,2,1,2
PwnFilter,com.pwn9.filter.util.tag,RuleDescriptionTag,4,3,0,0,1,1,1,1,1,1
PwnFilter,com.pwn9.filter.util.tag,TagRegistry,9,86,2,10,2,20,3,9,1,5
PwnFilter,com.pwn9.filter.util.tag,RuleIdTag,0,7,0,0,0,2,0,2,0,2
